kappa,length_um,split_ratio
0.01,1.0,9.99966667111108e-05
0.01,1.2462311557788945,0.0001553011692130584
0.01,1.492462311557789,0.0002227278372809916
0.01,1.7386934673366834,0.0003022750356925386
0.01,1.984924623115578,0.0003939408352798767
0.01,2.2311557788944727,0.0004977230129765176
0.01,2.477386934673367,0.0006136190518712205
0.01,2.7236180904522613,0.0007416261412690336
0.01,2.969849246231156,0.0008817411767594572
0.01,3.2160804020100504,0.001033960760291732
0.01,3.462311557788945,0.001198281200257247
0.01,3.7085427135678395,0.0013746985115790707
0.01,3.9547738693467336,0.0015632084158085932
0.01,4.201005025125628,0.0017638063412292885
0.01,4.447236180904523,0.0019764874229675883
0.01,4.693467336683417,0.002201246503110861
0.01,4.939698492462312,0.002438078130832504
0.01,5.185929648241206,0.002686976562524132
0.01,5.432160804020101,0.002947935761934878
0.01,5.678391959798995,0.0032209494003177736
0.01,5.92462311557789,0.0035060108565832426
0.01,6.170854271356784,0.0038031132174596665
0.01,6.417085427135679,0.0041122492776610505
0.01,6.6633165829145735,0.004433411540061758
0.01,6.909547738693467,0.00476659221587834
0.01,7.155778894472362,0.005111783224858423
0.01,7.402010050251256,0.005468976195476664
0.01,7.648241206030151,0.005838162465137784
0.01,7.894472361809045,0.006219333080386642
0.01,8.14070351758794,0.006612478797125397
0.01,8.386934673366834,0.007017590080837653
0.01,8.633165829145728,0.007434657106819735
0.01,8.879396984924623,0.007863669760418926
0.01,9.125628140703517,0.00830461763727877
0.01,9.371859296482413,0.008757490043591413
0.01,9.618090452261306,0.009222275996356923
0.01,9.864321608040202,0.009698964223649676
0.01,10.110552763819095,0.010187543164891694
0.01,10.35678391959799,0.01068800097113304
0.01,10.603015075376884,0.011200325505339137
0.01,10.84924623115578,0.011724504342685162
0.01,11.095477386934673,0.01226052477085733
0.01,11.341708542713569,0.012808373790361215
0.01,11.587939698492463,0.013368038114837003
0.01,11.834170854271358,0.013939504171381718
0.01,12.080402010050252,0.014522758100878372
0.01,12.326633165829147,0.015117785758332098
0.01,12.57286432160804,0.015724572713213186
0.01,12.819095477386934,0.016343104249807026
0.01,13.06532663316583,0.01697336536757105
0.01,13.311557788944723,0.01761534078149843
0.01,13.557788944723619,0.018269014922488887
0.01,13.804020100502512,0.018934371937726135
0.01,14.050251256281408,0.019611395691062482
0.01,14.296482412060302,0.020300069763410047
0.01,14.542713567839197,0.021000377453139013
0.01,14.78894472361809,0.021712301776482663
0.01,15.035175879396986,0.02243582546794925
0.01,15.28140703517588,0.023170930980740752
0.01,15.527638190954775,0.02391760048717837
0.01,15.773869346733669,0.024675815879134918
0.01,16.020100502512562,0.025445558768473965
0.01,16.266331658291456,0.026226810487495793
0.01,16.512562814070353,0.027019552089390112
0.01,16.758793969849247,0.02782376434869553
0.01,17.00502512562814,0.028639427761765864
0.01,17.251256281407034,0.0294665225472431
0.01,17.49748743718593,0.030305028646537138
0.01,17.743718592964825,0.031154925724312235
0.01,17.98994974874372,0.03201619316898022
0.01,18.236180904522612,0.032888810093200285
0.01,18.48241206030151,0.03377275533438567
0.01,18.728643216080403,0.03466800745521671
0.01,18.974874371859297,0.03557454474416091
0.01,19.22110552763819,0.036492345215999415
0.01,19.467336683417088,0.03742138661236015
0.01,19.71356783919598,0.03836164640225766
0.01,19.959798994974875,0.039313101782639616
0.01,20.20603015075377,0.04027572967893968
0.01,20.452261306532666,0.04124950674563722
0.01,20.69849246231156,0.042234409366823406
0.01,20.944723618090453,0.043230413656774005
0.01,21.190954773869347,0.04423749546052859
0.01,21.43718592964824,0.045255630354476446
0.01,21.683417085427138,0.04628479364694877
0.01,21.92964824120603,0.047324960378817525
0.01,22.175879396984925,0.04837610532410079
0.01,22.42211055276382,0.0494382029905745
0.01,22.668341708542716,0.05051122762039071
0.01,22.91457286432161,0.05159515319070219
0.01,23.160804020100503,0.05268995341429362
0.01,23.407035175879397,0.053795601740219086
0.01,23.653266331658294,0.05491207135444598
0.01,23.899497487437188,0.05603933518050522
0.01,24.14572864321608,0.05717736588014802
0.01,24.391959798994975,0.05832613585400883
0.01,24.63819095477387,0.05948561724227472
0.01,24.884422110552766,0.06065578192536094
0.01,25.13065326633166,0.061836601524592916
0.01,25.376884422110553,0.06302804740289458
0.01,25.623115577889447,0.06423009066548276
0.01,25.869346733668344,0.06544270216056793
0.01,26.115577889447238,0.06666585248006118
0.01,26.36180904522613,0.06789951196028761
0.01,26.608040201005025,0.06914365068270549
0.01,26.854271356783922,0.07039823847463199
0.01,27.100502512562816,0.07166324490997478
0.01,27.34673366834171,0.07293863930997006
0.01,27.592964824120603,0.07422439074392657
0.01,27.8391959798995,0.07552046802997563
0.01,28.085427135678394,0.07682683973582732
0.01,28.331658291457288,0.07814347417953303
0.01,28.57788944723618,0.07947033943025349
0.01,28.824120603015075,0.08080740330903333
0.01,29.070351758793972,0.08215463338958148
0.01,29.316582914572866,0.08351199699905744
0.01,29.56281407035176,0.08487946121886387
0.01,29.809045226130653,0.08625699288544468
0.01,30.05527638190955,0.08764455859108954
0.01,30.301507537688444,0.08904212468474386
0.01,30.547738693467338,0.09044965727282511
